clientes,tempo_ms
2,1.2761
3,1.9205
4,2.5664
5,3.1192
6,3.7889
7,4.5415
8,5.2383
9,5.7138
10,6.5259
11,7.3565
12,7.8133
13,8.1221
14,8.8443
15,9.6532
16,10.0366
17,11.2843
18,11.6112
19,12.5304
20,15.0714
21,13.4027
22,13.8437
23,14.7527
24,15.9534
25,16.1003
26,16.9883
27,17.366
28,17.9546
29,19.0506
30,19.7261
31,20.2897
32,20.8315
33,21.5059
34,21.8116
35,22.5798
36,23.123
37,24.0087
38,24.7351
39,25.2487
40,27.1619
41,27.3816
42,33.4353
43,27.2615
44,29.4947
45,29.6929
46,29.8666
47,31.0747
48,31.8419
49,32.0805
50,33.0262
51,33.1717
52,34.0981
53,34.6694
54,35.3178
55,35.2402
56,36.8246
57,36.6688
58,37.1868
59,38.0429
60,38.615
61,39.3292
62,39.7928
63,40.394
64,41.2478
65,41.9621
66,42.0485
67,42.8876
68,43.7276
69,44.1599
70,45.1633
71,45.5033
72,46.3255
73,46.7117
74,47.2546
75,48.4875
76,48.833
77,49.5232
78,50.1701
79,51.0338
80,52.8289
81,51.8404
82,53.9568
83,54.7701
84,54.307
85,54.4897
86,55.943
87,56.9963
88,57.3798
89,57.2555
90,59.0383
91,58.4769
92,59.6335
93,59.1397
94,61.0895
95,61.6138
96,62.0711
97,63.1847
98,63.7732
99,63.3721
100,64.1079
101,65.358
102,65.2731
103,66.2487
104,67.07
105,68.7962
106,72.0098
107,67.3076
108,70.2634
109,70.5589
110,71.1923
111,71.2722
112,73.0224
113,73.91
114,74.8214
115,74.0624
116,75.8951
117,75.571
118,75.8229
119,77.2371
120,79.0601
121,78.7309
122,78.332
123,81.9598
124,80.6566
125,82.08
126,82.3058
127,83.6835
128,83.7359
129,82.8509
130,84.4445
131,86.1742
132,84.8343
133,87.5642
134,86.6371
135,89.3389
136,88.4156
137,89.7974
138,88.8709
139,90.0437
140,90.9484
141,90.8412
142,91.7752
143,93.8848
144,93.0757
145,93.1598
146,94.7472
147,96.314
148,96.6117
