pacotes_por_cliente,tempo_ms
1,0.6611
2,1.2699
3,1.8174
4,2.568
5,3.2261
6,3.8432
7,4.6394
8,5.0164
9,5.5951
10,6.3483
11,7.3102
12,7.8872
13,8.1067
14,9.2263
15,9.7125
16,10.2198
17,10.8288
18,11.474
19,12.4888
20,13.7147
21,13.4103
22,14.0384
23,14.4584
24,15.7432
25,15.7229
26,16.9087
27,17.6882
28,18.0653
29,18.95
30,19.4413
31,20.2913
32,20.9746
33,21.4295
34,22.3313
35,22.8329
36,23.669
37,23.8275
38,24.887
39,25.192
40,27.0015
41,26.3728
42,27.7382
43,28.2682
44,29.1157
45,30.2048
46,30.3564
47,31.1378
48,31.6804
49,32.5374
50,32.4969
51,33.5424
52,33.961
53,33.9692
54,35.7404
55,35.6383
56,36.1187
57,37.8455
58,36.8365
59,37.7418
60,38.7797
61,39.1673
62,39.5785
63,40.9322
64,40.6685
65,41.3145
66,41.8963
67,42.6856
68,42.4367
69,45.4784
70,45.0904
71,53.2492
72,45.4466
73,46.3096
74,47.5625
75,48.2324
76,48.4852
77,48.7374
78,49.6833
79,50.1645
80,51.2434
81,52.6137
82,52.3656
83,52.8494
84,53.5065
85,54.0926
86,54.8642
87,55.4515
88,55.7232
89,56.5692
90,58.4943
91,59.3546
92,58.5303
93,59.3565
94,59.7842
95,61.1563
96,61.3431
97,62.007
98,63.272
99,63.2543
100,65.1766
101,65.0428
102,65.9394
103,66.2719
104,66.7831
105,68.5285
106,68.2135
107,71.517
108,69.5301
109,70.2131
110,70.3174
111,70.4014
112,71.665
113,72.2687
114,73.5343
115,73.4343
116,73.9343
117,74.6545
118,76.2312
119,77.1023
120,77.8149
121,78.0484
122,78.4041
123,78.7993
124,79.6582
125,81.3997
126,81.4493
127,82.1669
128,82.6847
129,83.6193
130,84.1031
131,83.7505
132,84.5969
133,84.8519
134,87.4495
135,86.2559
136,88.4533
137,88.5931
138,88.607
139,90.3043
140,89.6843
141,91.0264
142,93.3729
143,92.3013
144,92.4833
145,94.0137
146,95.1872
147,97.0057
148,95.2453
149,96.4196
150,96.2394
151,97.6203
152,98.0999
153,98.4338
154,98.4705
155,100.292
156,100.348
157,100.911
158,101.844
159,102.487
160,103.939
161,105.951
162,105.584
163,105.273
164,106.616
165,105.412
166,104.019
167,108.021
168,107.383
169,107.903
170,107.812
171,108.66
172,109.018
173,111.477
174,111.764
175,112.899
176,114.951
177,113.879
178,114.24
179,114.627
180,115.007
181,116.832
182,116.399
183,116.791
184,119.284
185,119.355
186,120.473
187,121.81
188,121.75
189,121.638
190,123.325
191,123.366
192,123.981
193,123.987
194,125.105
195,125.588
196,127.179
197,127.078
198,128.26
199,130.374
200,129.874
201,131.035
202,130.214
203,132.445
204,134.19
205,136.143
206,132.585
207,134.441
208,136.786
209,135.149
210,137.044
211,138.844
212,137.398
213,140.043
214,140.123
215,138.887
216,139.881
217,140.68
218,141.168
219,142.615
220,142.495
221,143.755
222,142.942
223,146.574
224,144.944
225,147.003
226,149.409
227,148.246
228,148.972
229,149.398
230,150.808
231,159.374
232,151.747
233,152.536
234,157.955
235,153.355
236,154.31
237,156.917
238,157.287
239,158.256
240,157.588
241,157.923
242,158.709
243,156.133
244,158.276
245,158.89
246,162.868
247,166.589
248,163.899
249,163.289
250,162.108
251,162.036
252,164.266
253,164.265
254,166.032
255,166.269
256,168.963
257,168.471
258,167.092
259,170.954
260,169.667
261,171.402
262,170.76
263,172.634
264,171.667
265,174.403
266,175.177
267,175.591
268,174.824
269,175.745
270,174.579
271,175.842
272,177.842
273,177.627
274,179.042
275,179.37
276,182.98
277,181.079
278,184.03
279,181.651
280,183.979
281,183.587
282,182.556
283,185.687
284,189.408
285,185.47
286,187.209
287,189.859
288,190.095
289,188.317
290,188.991
291,189.117
292,192.32
293,190.246
294,194.892
295,193.715
296,194.484
297,198.888
298,197.473
299,197.513
300,197.575
301,197.266
302,198.017
303,198.144
304,201.325
305,198.324
306,199.934
307,198.854
308,202.405
309,202.001
310,204.314
311,203.194
312,204.042
313,206.224
314,210.555
315,206.25
316,206.467
317,207.947
318,208.171
319,209.628
320,211.288
321,212.22
322,215.432
323,216.906
324,213.689
325,211.433
326,214.445
327,214.181
328,215.939
329,215.511
330,215.249
331,217.384
332,220.045
333,217.852
334,217.773
335,218.278
336,223.689
337,221.994
338,225.053
339,222.545
340,225.532
341,232.883
342,229.411
343,227.47
344,225.95
345,230.021
346,230.825
347,230.069
348,234.615
349,234.27
350,229.702
351,234.597
352,236.907
353,230.903
354,230.12
355,233.029
356,229.679
357,237.759
358,237.91
359,244.069
360,354.239
361,242.238
362,247.482
363,246.271
364,250.223
365,251.172
366,244.92
367,244.629
368,243.906
369,243.558
370,247.668
371,246.262
372,254.81
373,250.061
374,258.21
375,249.768
376,253.673
377,250.718
378,253.357
379,252.846
380,254.904
381,253.761
382,255.301
383,259.449
