eventos_por_pacote,tempo_ms
1,0.0793
2,0.0906
3,0.0969
4,0.1204
5,0.1479
6,0.1711
7,0.2523
8,0.2339
9,0.2536
10,0.2725
11,0.2672
12,0.2793
13,0.2862
14,0.2792
15,0.2933
16,0.3114
17,0.3269
18,0.3446
19,0.3673
20,0.4084
21,0.4041
22,0.4467
23,0.4337
24,0.4914
25,0.5075
26,0.4977
27,0.5048
28,0.516
29,0.6464
30,0.5728
31,0.607
32,0.6015
33,0.6053
34,0.6788
35,0.6732
36,0.674
37,0.6795
38,0.7619
39,0.7187
40,0.7342
41,1.0529
42,0.8413
43,0.7927
44,0.9675
45,0.8375
46,0.8451
47,0.894
48,0.8898
49,0.9263
50,0.9553
51,0.9633
52,0.9403
53,1.0138
54,0.9856
55,1.1189
56,1.0406
57,1.0269
58,1.0595
59,1.1283
60,1.1658
61,1.1183
62,1.1635
63,1.6307
64,1.1371
65,1.2138
66,1.2395
67,1.3628
68,1.2196
69,1.3688
70,1.2315
71,1.3907
72,1.2975
73,1.554
74,1.2867
75,1.492
76,1.2967
77,1.5295
78,1.355
79,1.565
80,1.4864
81,1.6161
82,1.4491
83,1.5637
84,1.4424
85,1.559
86,1.5506
87,1.5192
88,1.5338
89,1.5317
90,1.6748
91,1.565
92,1.7943
93,1.651
94,1.6752
95,1.8234
96,1.6936
97,1.8291
98,1.7914
99,1.6747
100,2.0327
101,1.7929
102,1.766
103,1.9333
104,1.9576
105,1.854
106,1.9938
107,1.8228
108,2.0464
109,2.2192
110,2.1033
111,2.0312
112,2.1854
113,9.1813
114,1.9827
115,1.9431
116,2.053
117,2.1652
118,2.1791
119,2.0192
120,2.285
121,2.2621
122,2.1483
123,2.1012
124,2.1583
125,2.3124
126,2.3044
127,2.2841
128,2.2342
129,2.4984
130,2.5057
131,2.4193
132,2.3521
133,2.3761
134,2.2805
135,2.3717
136,2.5466
137,2.4773
138,2.4464
139,2.462
140,2.4725
141,2.5664
142,2.6086
143,2.5814
144,2.5867
145,2.6254
146,2.5729
147,2.4752
148,2.6339
149,2.5798
150,2.6435
151,2.7558
152,2.6786
153,2.8
154,2.7405
155,2.7586
156,2.8716
157,2.6864
158,2.6735
159,2.9259
160,2.6765
161,2.8931
162,2.7568
163,2.7752
164,3.0189
165,2.8771
166,2.9761
167,2.9633
168,3.1072
169,3.137
170,3.0822
171,3.2058
172,3.0899
173,3.335
174,3.1081
175,7.4024
176,5.6849
177,3.2083
178,3.126
179,3.1958
180,3.1728
181,3.265
182,3.2936
183,3.2981
184,3.2547
185,3.3578
186,3.3187
187,3.2745
188,3.4017
189,3.4281
190,3.4197
191,3.402
192,3.5053
193,3.2667
194,3.5087
195,3.6337
196,3.7095
197,3.5096
198,3.3655
199,3.6225
200,3.4519
201,3.592
202,3.6
203,3.5011
204,3.471
205,3.67
206,3.6563
207,3.7081
208,3.723
209,3.7137
210,3.7579
211,3.6385
212,3.6161
213,3.8758
214,3.6688
